days_june,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013
20,22.62,23.64,5.4,15.73,7.3,0.79,9.68,11.34,10.47,10.12,10.65,10.08,5.03,13.23,18.14,21.89,22.74,20.19,3.9,3.34,5.03,3.66,11.16,17.03,13.36,7.06,5.55,8.01,6.18,5.79,7.16,0.77,0.8
21,23.69,24.93,6.52,15.84,9.7,1.49,11.36,12.85,10.86,10.33,11.56,10.38,5.98,13.97,19.5,23.07,23.22,23.48,4.13,5.42,5.39,4.26,12.46,18.09,13.99,7.58,6.28,9.1,6.76,6.72,8.5,0.97,1.13
22,25.06,25.66,7,16.5,10.03,2.31,12.26,14.68,12.88,10.85,12.06,11.26,6.62,14.41,20.99,25.31,23.71,25.76,5.27,7.9,6.11,4.68,13.56,18.66,14.59,8.37,7.06,9.91,7.67,7.36,9.29,1.28,1.51
23,25.47,25.94,7.33,16.88,11.76,2.85,13.09,15.34,14.37,11.15,13.11,12.18,7.73,14.79,21.52,26.12,24.25,27.24,6.73,9.14,6.55,5.6,14.6,18.91,15.48,9.66,9.08,11,8.73,8.01,9.75,1.43,1.85
24,25.58,26.61,7.91,17,13.5,3.96,13.5,16.83,15.04,12.24,13.59,12.59,8.82,14.99,22.67,28.8,25.17,28.39,7.22,10.36,6.81,6.93,15.78,20.41,16.69,10.47,11.22,12,9.95,8.96,10.2,1.52,2.13
25,25.91,27.43,8.19,17.16,14.69,4.52,15.05,18.19,15.88,13.42,13.86,12.89,9.81,15.31,24.5,29.87,25.53,29.61,7.97,12.88,7.53,8.33,16.41,20.66,17.22,10.95,13.41,12.46,10.67,9.93,10.53,1.72,2.59
26,26.72,28.02,8.4,17.42,14.88,4.91,17.43,18.92,16.56,14.76,14.5,13.24,10.49,15.66,26.35,30.87,26.07,30.4,8.18,14.36,8.91,9.4,16.87,21,17.78,12.02,14.75,13.09,12.53,10.65,10.77,2.32,2.94
27,27.43,28.55,8.88,17.66,16.42,6.65,18.48,20.11,16.94,15.12,15.39,13.95,11.17,16.09,27.76,31.06,27.4,31.06,9.16,14.85,9.5,10.67,17.12,21.43,18.12,12.66,15.47,13.82,14.67,11.69,11.13,2.69,3.49
28,28.27,28.96,9.66,17.76,17.39,7.36,18.92,20.95,17.1,15.47,15.82,14.95,12.57,16.55,28.54,31.4,27.71,31.47,9.71,16.6,10.21,11.34,17.22,21.76,18.5,13.12,16.68,14.63,16.52,12.94,11.74,2.83,3.99
29,29.22,29.86,9.96,18.3,17.5,8.72,19.3,22.01,17.28,15.9,16.01,15.91,14.08,16.71,29.55,31.51,28.02,31.79,10.78,18.21,10.81,11.72,18.07,22.89,18.69,13.65,17.57,15.24,17.59,13.27,12.14,2.97,4.88
